colony_id,day,alates,male,female,unidentified,cumulative_alate,flight,alate_fraction,end,ave_temp,max_temp,min_temp
col-7,9,0,0,0,0,0,0,0,0,5.3125,22.5,-1.5
col-7,10,0,0,0,0,0,0,0,0,5.25,19.5,-3.5
col-7,11,0,0,0,0,0,0,0,0,7.6875,26,-2.5
col-7,12,0,0,0,0,0,0,0,0,10.895833,24.5,5.5
col-7,13,0,0,0,0,0,0,0,0,8.208333,17,0.5
col-7,14,0,0,0,0,0,0,0,0,9.354167,31,-1
col-7,15,1552,730,822,0,1552,1,0.496005113,0,11.208333,33.5,-1
col-7,16,0,0,0,0,1552,0,0,0,10.541667,22,4
col-7,17,0,0,0,0,1552,0,0,0,6.833333,26.5,-0.5
col-7,18,0,0,0,0,1552,0,0,0,6.354167,29,-3.5
col-7,19,0,0,0,0,1552,0,0,0,6.5625,28.5,-3.5
col-7,20,0,0,0,0,1552,0,0,0,6.3125,18,-1
col-7,21,0,0,0,0,1552,0,0,0,6.958333,26,-1
col-7,22,331,158,173,0,1883,1,0.105784596,0,8.145833,32,-1
col-7,23,0,0,0,0,1883,0,0,0,11.083333,23,2.5
col-7,24,0,0,0,0,1883,0,0,0,10.125,32,3
col-7,25,875,420,455,0,2758,1,0.279642058,0,7.708333,24.5,1.5
col-7,26,249,124,119,6,3007,1,0.07957814,0,9.520833,29,2.5
col-7,27,44,28,13,3,3051,1,0.014062001,0,9.854167,21,1
col-7,28,42,20,22,0,3093,1,0.013422819,0,11.166667,31,0.5
col-7,29,34,15,19,0,3127,1,0.010866091,0,12.666667,33.5,0
col-7,30,2,0,2,0,3129,1,0.000639182,0,16.5,37,3
col-7,31,0,0,0,0,3129,0,0,1,10.75,15.5,8
col-7,32,0,0,0,0,3129,0,0,1,12.604167,25.5,5.5
col-7,33,0,0,0,0,3129,0,0,1,12.416667,29.5,4
col-7,34,0,0,0,0,3129,0,0,1,11.8125,29.5,3
col-7,35,0,0,0,0,3129,0,0,1,12.729167,37.5,1
col-7,36,0,0,0,0,3129,0,0,1,11.520833,23.5,3.5
col-7,37,0,0,0,0,3129,0,0,1,13.145833,28.5,3.5
col-7,38,0,0,0,0,3129,0,0,1,14.666667,33,0.5
col-7,39,0,0,0,0,3129,0,0,1,16.958333,41.5,2.5
col-7,40,0,0,0,0,3129,0,0,1,20.041667,44.5,8
